Province/Territory and Immigration Category,2015,2016,2017,2018
Entreprenuer ,65,10,--,0
Investor,160,90,20,10
Self-Employed,325,370,235,215
Start-up Business,40,45,55,40
Business,590,515,310,265
Provincial Nominee Program,"3,550","3,910","6,985","9,930"
Provincial Nominee Program,"3,550","3,910","6,985","9,930"
Economic - Total,"57,035","45,120","53,325","65,605"
Sponsored Children,"1,515","1,725","1,470","1,335"
Sponsored Extended Family Member,155,155,120,110
Sponsored Parent or Grandparent,"8,175","9,070","10,530","7,005"
Sponsored Spouse or Partner,"19,795","24,200","24,630","22,115"
Sponsored Family,"29,640","35,145","36,745","30,565"
Sponsored Family - Total,"29,640","35,145","36,745","30,565"
Blended Sponsorship Refugee,440,"2,360",740,255
Government-Assisted Refugee,"3,315","9,910","3,375","2,590"
Privately Sponsored Refugee,"3,765","7,680","6,565","7,205"
Resettled Refugee,"7,520","19,945","10,680","10,050"
Protected Person in Canada,"7,440","8,240","9,510","9,410"
Resettled Refugee & Protected Person in Canada - Total,"14,960","28,190","20,190","19,460"
All Other Immigration - Total,"1,975","1,570","1,685","1,690"
Ontario - Total,"103,615","110,020","111,945","117,320"
Canadian Experience,115,115,235,320
Caregiver,145,95,75,45
Skilled Trade,--,20,20,0
Skilled Worker,715,490,295,475
Worker Program,980,720,625,840
Entreprenuer ,--,0,0,0
Self-Employed,5,10,--,10
Business,5,10,--,10
Provincial Nominee Program,"10,260","9,960","9,430","8,790"
Provincial Nominee Program,"10,260","9,960","9,430","8,790"
Economic - Total,"11,250","10,690","10,060","9,645"
Sponsored Children,110,110,115,110
Sponsored Extended Family Member,5,5,10,--
Sponsored Parent or Grandparent,355,435,450,375
Sponsored Spouse or Partner,"1,375","1,825","1,900","1,660"
Sponsored Family,"1,850","2,375","2,475","2,145"
Sponsored Family - Total,"1,850","2,375","2,475","2,145"
Blended Sponsorship Refugee,40,320,90,65
Government-Assisted Refugee,690,"1,270",605,405
Privately Sponsored Refugee,980,"2,075","1,365",765
Resettled Refugee,"1,715","3,665","2,055","1,235"
Protected Person in Canada,55,70,80,85
Resettled Refugee & Protected Person in Canada - Total,"1,765","3,735","2,135","1,320"
All Other Immigration - Total,35,25,35,35
Manitoba - Total,"14,900","16,825","14,705","13,145"
Canadian Experience,370,280,435,385
Caregiver,285,220,335,235
Skilled Trade,40,35,40,15
Skilled Worker,680,530,305,515
Worker Program,"1,375","1,070","1,115","1,150"
Self-Employed,10,0,--,5
Business,10,0,--,5
Provincial Nominee Program,"8,665","9,900","10,530","10,145"
Provincial Nominee Program,"8,665","9,900","10,530","10,145"
Economic - Total,"10,050","10,970","11,645","11,305"
Sponsored Children,65,65,70,65
Sponsored Extended Family Member,--,5,--,5
Sponsored Parent or Grandparent,195,220,360,345
Sponsored Spouse or Partner,"1,295","1,665","1,570","1,170"
Sponsored Family,"1,555","1,960","2,000","1,585"
Sponsored Family - Total,"1,555","1,960","2,000","1,585"
Blended Sponsorship Refugee,30,165,40,30
Government-Assisted Refugee,640,"1,395",505,395
Privately Sponsored Refugee,125,265,395,430
Resettled Refugee,795,"1,825",935,855
Protected Person in Canada,90,75,80,50
Resettled Refugee & Protected Person in Canada - Total,885,"1,900","1,015",905
All Other Immigration - Total,30,30,15,25
Saskatchewan - Total,"12,520","14,860","14,675","13,820"
Canadian Experience,"7,005","6,930","6,125","2,295"
Caregiver,"5,400","3,830","5,245","3,780"
Skilled Trade,"1,450","1,595",795,240
Skilled Worker,"9,110","7,985","2,985","3,985"
Worker Program,"22,965","20,340","15,150","10,305"
Entreprenuer ,--,0,0,0
Investor,10,10,0,0
Self-Employed,45,15,15,40
Start-up Business,5,0,0,0
Business,60,20,15,40
Provincial Nominee Program,"10,410","8,070","7,195","9,340"
Provincial Nominee Program,"10,410","8,070","7,195","9,340"
Economic - Total,"33,440","28,430","22,360","19,685"
Sponsored Children,465,600,615,570
Sponsored Extended Family Member,80,100,100,95
Sponsored Parent or Grandparent,"2,230","2,620","3,510","2,885"
Sponsored Spouse or Partner,"6,965","9,695","10,025","7,660"
Sponsored Family,"9,740","13,015","14,250","11,210"
Sponsored Family - Total,"9,740","13,015","14,250","11,210"
Blended Sponsorship Refugee,70,355,105,60
Government-Assisted Refugee,"1,185","3,005","1,295",990
Privately Sponsored Refugee,"1,320","2,930","2,315","2,470"
Resettled Refugee,"2,570","6,285","3,715","3,520"
Protected Person in Canada,875,925,"1,230","1,140"
Resettled Refugee & Protected Person in Canada - Total,"3,445","7,215","4,945","4,660"
All Other Immigration - Total,580,540,535,585
Alberta - Total,"47,205","49,200","42,090","36,140"
Canadian Experience,"2,700","2,815","5,860","4,945"
Caregiver,"5,630","3,740","4,460","3,045"
Skilled Trade,175,420,670,320
Skilled Worker,"6,515","6,285","3,465","5,400"
Worker Program,"15,025","13,255","14,455","13,715"
Entreprenuer ,--,--,0,0
Investor,180,40,25,0
Self-Employed,165,210,140,140
Start-up Business,10,45,65,105
Business,360,295,230,245
Provincial Nominee Program,"6,785","6,760","7,570","10,125"
Provincial Nominee Program,"6,785","6,760","7,570","10,125"
Economic - Total,"22,170","20,310","22,250","24,085"
Sponsored Children,400,470,400,345
Sponsored Extended Family Member,40,35,25,55
Sponsored Parent or Grandparent,"3,360","3,300","3,470","2,670"
Sponsored Spouse or Partner,"7,305","9,170","9,465","8,795"
Sponsored Family,"11,100","12,970","13,360","11,865"
Sponsored Family - Total,"11,100","12,970","13,360","11,865"
Blended Sponsorship Refugee,120,645,175,110
Government-Assisted Refugee,"1,130","2,390",740,635
Privately Sponsored Refugee,475,"1,060","1,070","1,170"
Resettled Refugee,"1,725","4,095","1,985","1,915"
Protected Person in Canada,530,565,710,685
Resettled Refugee & Protected Person in Canada - Total,"2,250","4,655","2,695","2,600"
All Other Immigration - Total,210,135,130,150
British Columbia - Total,"35,735","38,075","38,440","38,700"
Canadian Experience,15,5,10,15
Caregiver,15,10,--,10
Skilled Trade,--,0,0,0
Skilled Worker,15,15,10,10
Worker Program,45,30,20,35
Self-Employed,0,0,0,--
Business,0,0,0,--
Provincial Nominee Program,155,90,120,180
Provincial Nominee Program,155,90,120,180
Economic - Total,195,120,145,215
Sponsored Children,--,5,--,--
Sponsored Extended Family Member,0,0,0,--
Sponsored Parent or Grandparent,15,5,5,--
Sponsored Spouse or Partner,50,65,65,40
Sponsored Family,65,75,70,45
Sponsored Family - Total,65,75,70,45
Blended Sponsorship Refugee,0,10,0,10
Privately Sponsored Refugee,0,5,5,--
Resettled Refugee,0,15,5,10
Protected Person in Canada,--,0,--,--
Resettled Refugee & Protected Person in Canada - Total,--,15,10,10
All Other Immigration - Total,--,--,0,0
Yukon - Total,265,210,225,275
Canadian Experience,15,15,15,20
Caregiver,55,25,45,35
Skilled Trade,5,--,--,0
Skilled Worker,10,10,--,5
Worker Program,85,55,70,65
Provincial Nominee Program,60,65,105,115
Provincial Nominee Program,60,65,105,115
Economic - Total,145,120,175,175
Sponsored Children,--,0,0,--
Sponsored Parent or Grandparent,10,10,10,5
Sponsored Spouse or Partner,45,45,50,50
Sponsored Family,55,55,55,60
Sponsored Family - Total,55,55,55,60
Blended Sponsorship Refugee,0,5,0,--
Privately Sponsored Refugee,0,--,0,--
Resettled Refugee,0,10,0,5
Protected Person in Canada,5,--,--,--
Resettled Refugee & Protected Person in Canada - Total,5,10,--,10
All Other Immigration - Total,--,--,--,--
Northwest Territories - Total,210,185,240,245
Canadian Experience,10,--,5,0
Caregiver,15,10,--,5
Skilled Worker,--,5,--,0
Worker Program,25,20,10,5
Economic - Total,25,20,10,5
Sponsored Children,0,0,--,--
Sponsored Parent or Grandparent,0,--,0,0
Sponsored Spouse or Partner,10,15,25,10
Sponsored Family,10,15,30,10
Sponsored Family - Total,10,15,30,10
Protected Person in Canada,--,--,--,--
Resettled Refugee & Protected Person in Canada - Total,--,--,--,--
Nunavut - Total,35,35,40,20
Province/Territory not stated - Total,80,55,40,10
Total,"271,835","296,365","286,480","276,380"
